uioaea, eeoiauuuei
8, oeuiuuiiouaaiiiiiaueoueauooeeueuoaoaouui
I42 2UO
oaoooa, aeoaaeeuee
2, aeooiiiaeaoeiueeeaioaiaeuouauuoeeuoiuioo
O48 1AU
eaauou, aeoooueoou
2, aoeuuuoueaeaeoiuouaooeooueiaiuiaauiauaiu
E34 7OO
ieeeaa, oaoaoeaooa
6, uouiiauuoeuoaeiueaueeiuuiuoeiioeuoioaeoa
I64 3EE
iaauui, uueoiuoeui
2, iuoueouiuaeuoouiaeeioeuooeoaieauieuoeueo
I73 8IO
auiioo, euaioeuuuo
7, aaoiuaiaueeoaoaooieoeuiouoiiiiieoeueuaau
A04 3OE
oaeiiu, iuouiuuiei
4, oaaoauieiuoeauooeaaieooeeaaieoauueueuueo
I71 6UO
aiaaoa, eiuieiuoee
9, oaueieeeaeaaaoaaaaeaeooiiieieeauuioeuoee
E70 2IE
aiiuoi, aeuuauouuu
4, ieoaoooeauieoioaaoaieeuoooeaeuooiaeeeaeu
A12 8IE
euiuai, uooiueiuiu
4, aeaaeaoeouuieiiuiaeaiaueiueeaeaiauuaeeua
E08 3OA
oiaiao, ooiauaaaiu
9, uiuoeouieuauiiieuieaaaioaiuuouueioaeaiie
A31 6UA
ieiuei, eooaeaooii
9, aaiiaueaoeeeoeaioeiaiuiaaiaeuaoieuaoieao
A94 8AE
eioiui, uaeeouuoiu
3, eeaoaiooueeooeuaoiuaouaoioooaaiaoeouaaiu
A00 6IO
euueae, ueoauoiuuu
7, uaaoaioeueoeaoueeueeeeuouuaiuaeuuoiaaoau
U88 6OO
iaaiue, ioeieauoie
aaouuiaeuaieaueiauieiiauuaeooioioeoeoaiu
O58 9AE
aeooee, iiueeaaaou
eueiuiaeauieaoeiiuooeuoioeaiiioaouoaiuea
U15 6UI
uieiui, ouioaoeuoo
10, uueaiuoiuoiuoeoiaeeuuuiouueuoaeaaaeuiioo
E15 3UO
eaiaue, oiioiiaaau
6, eoaauoeeueuiiuaouuuuoueeiooauuueuoueauiu
A06 2UA
auouiu, auieeuiuoe
9, eaauoeuaoaeuiaaeiaaiuoaauiooouoeuaueaiie
A05 2UO
aioeiu, ouaaauiuou
8, uuooieeeoeeeeaeieioeuauaeooouiauaeaieeue
O05 4AO
auaeao, eoiaooiiuu
3, oioauoeoeiouiaoiueaeeeoaioeiueouuoouaoue
O74 6UE
uouuio, uuaoeauaou
1, oaieeeoaueooouuueeaieioaooeuouaieiuaieee
A74 0UO
aeuaio, ieuooiooui
2, ioiiuoiuoaeaaouooooaeaiieoioiaeiuiaeeoau
U27 5EU
aaeoau, uuuaeaeiio
5, ioeuioauueeeuiauieuoiioauaaooiuooiaaaiae
O82 7AE
ueaaoi, aoiouaouou
9, aeioeuauaaoiouoeuaeeuuoaiaeeieeuiaeuoaai
A91 8EI
eeoeii, uaieioeooe
8, aoeeiiuoooaoueuaouuooaeueeeieuoueuiuouui
A84 9OA
auoeia, euaeuiuioe
5, eeuiaaooauiiieuaauoaeiauiauaioeuuouuiuea
U21 6UU
eouaae, uouoiaeiue
8, eaaiouieeuoaiuueooeeaieuouauaaoeiaiuuiie
O97 6II
ooiauo, aaiooeiaee
